###################################################################
#   NDI 6D ARCHITECT COLLECTED MARKER DATA (CSV FORMAT)
#
#      Collection Date (M/D/Y): 11/18/2016
#      Collection Markers: 4
#      Collection Frames: 45
#
#      Part Number: 00
#      Manufacturer: Team6
#      Revision: 1
#      Serial Number: 978651138l
#
###################################################################
Marker1-X,Marker1-Y,Marker1-Z,Marker2-X,Marker2-Y,Marker2-Z,Marker3-X,Marker3-Y,Marker3-Z,Marker4-X,Marker4-Y,Marker4-Z
-42.4435, -13.4279, -1492.3442, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -82.5285, -23.3896, -1514.0475, -104.6655, 8.6858, -1528.1001
-42.4247, -13.3830, -1492.3467, -75.0277, -68.0102, -1506.9557, -82.5385, -23.3539, -1514.0259, -104.6759, 8.7331, -1528.1104
-42.4086, -13.3966, -1492.3359, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -82.5136, -23.3712, -1514.0076, -104.6374, 8.7224, -1528.1431
-42.3998, -13.4055, -1492.3120, -74.9818, -68.0150, -1506.9000, -82.5047, -23.3848, -1514.0383, -104.6340, 8.7165, -1528.1116
-42.4038, -13.3948, -1492.2793, -74.9792, -68.0076, -1506.8516, -82.5155, -23.3645, -1513.9509, -104.6295, 8.7238, -1528.0321
-42.4237, -13.4064, -1492.2693, -75.0104, -68.0205, -1506.9009, -82.5350, -23.3739, -1513.9941, -104.6587, 8.7116, -1528.0220
-42.4314, -13.3904, -1492.3267, -3.6973e+028f, -3.6973e+028f, -3.6973e+028f, -82.5290, -23.3572, -1514.0127, -104.6679, 8.7189, -1528.1428
-42.4158, -13.3990, -1492.3088, -74.9901, -68.0192, -1506.9144, -82.5246, -23.3775, -1514.0762, -104.6452, 8.7109, -1528.1399
-42.3997, -13.3955, -1492.3635, -74.9774, -68.0268, -1506.9409, -82.5114, -23.3808, -1514.0332, -104.6321, 8.7155, -1528.0515
-42.4030, -13.4185, -1492.3508, -74.9672, -68.0494, -1506.9258, -82.5001, -23.3844, -1514.0645, -104.6159, 8.7015, -1528.0579
